,destination_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people
307,Washington,2015,7089143,5778806,1017221,230907,62209,Alabama,580
308,West Virginia,2015,1823753,1610407,167631,42078,3637,Alabama,240
309,Wisconsin,2015,5708201,4891636,690306,106511,19748,Alabama,322
310,Wyoming,2015,579102,474927,65384,35947,2844,Alabama,253
311,Puerto Rico,2015,3443445,3193423,219833,24762,5427,Alabama,246
312,Alabama,2016,4810126,4141850,529994,122220,16062,Alabama,0
313,Alaska,2016,731760,593897,100004,31300,6559,Alabama,423
314,Arizona,2016,6851836,5586753,938077,273257,53749,Alabama,894
315,Arkansas,2016,2949650,2484705,384811,71083,9051,Alabama,2057
316,California,2016,38783436,33594813,4337251,514758,336614,Alabama,3045
317,Colorado,2016,5476928,4466067,754712,223260,32889,Alabama,2328
318,Connecticut,2016,3541758,3116440,323316,75586,26416,Alabama,1102
319,Delaware,2016,942073,817779,85147,33400,5747,Alabama,148
320,District of Columbia ,2016,672022,538547,64166,58154,11155,Alabama,140
321,Florida,2016,20401575,17176492,2387227,605018,232838,Alabama,11353
322,Georgia,2016,10179860,8514847,1290632,305040,69341,Alabama,18276
323,Hawaii,2016,1410258,1217704,117894,57229,17431,Alabama,1182
324,Idaho,2016,1663756,1369449,214222,71556,8529,Alabama,0
325,Illinois,2016,12654142,10996695,1387848,203713,65886,Alabama,2022
326,Indiana,2016,6554084,5580090,801425,145782,26787,Alabama,1133
327,Iowa,2016,3097283,2622577,383520,78263,12923,Alabama,395
328,Kansas,2016,2870529,2394351,369971,88830,17377,Alabama,879
329,Kentucky,2016,4385213,3698797,553718,113238,19460,Alabama,2272
330,Louisiana,2016,4622042,3994321,526380,85371,15970,Alabama,5658
331,Maine,2016,1319292,1146220,129892,38590,4590,Alabama,471
332,Maryland,2016,5949566,5140378,606423,158647,44118,Alabama,1241
333,Massachusetts,2016,6745441,5866016,657022,149408,72995,Alabama,681
334,Michigan,2016,9813772,8362412,1240633,155874,54853,Alabama,2287
335,Minnesota,2016,5455904,4669227,645164,111307,30206,Alabama,115
336,Mississippi,2016,2951081,2556013,324577,64639,5852,Alabama,5125
337,Missouri,2016,6022165,5078669,758791,162809,21896,Alabama,2283
338,Montana,2016,1032794,863174,128300,37775,3545,Alabama,296
339,Nebraska,2016,1882987,1573126,248118,51448,10295,Alabama,227
340,Nevada,2016,2907243,2400809,374058,117899,14477,Alabama,394
341,New Hampshire,2016,1322101,1122068,140603,52457,6973,Alabama,174
342,New Jersey,2016,8852286,7934689,703637,144359,69601,Alabama,48
343,New Mexico,2016,2057857,1768040,214411,64802,10604,Alabama,732
344,New York,2016,19526443,17465164,1634487,260723,166069,Alabama,402
345,North Carolina,2016,10032407,8460264,1190972,330896,50275,Alabama,3491
346,North Dakota,2016,746271,620891,91010,29655,4715,Alabama,193
347,Ohio,2016,11481752,9755589,1482286,195396,48481,Alabama,3101
348,Oklahoma,2016,3873232,3225478,530770,102000,14984,Alabama,176
349,Oregon,2016,4052221,3307805,577950,139334,27132,Alabama,167
350,Pennsylvania,2016,12645493,11016361,1308271,252060,68801,Alabama,1978
351,Rhode Island,2016,1045691,898574,106725,32800,7592,Alabama,53
352,South Carolina,2016,4903788,4176954,542415,165230,19189,Alabama,2823
353,South Dakota,2016,853832,720262,97747,31789,4034,Alabama,0
354,Tennessee,2016,6580953,5644022,742615,170867,23449,Alabama,7683
355,Texas,2016,27472626,23105984,3599897,531996,234749,Alabama,6915
356,Utah,2016,3002244,2474308,396018,107083,24835,Alabama,125
357,Vermont,2016,619387,535268,60744,21262,2113,Alabama,0
358,Virginia,2016,8312297,7008805,961003,264164,78325,Alabama,2424
359,Washington,2016,7202119,5924723,958326,257728,61342,Alabama,1465
360,West Virginia,2016,1810709,1582818,176953,47196,3742,Alabama,284
361,Wisconsin,2016,5712104,4876817,696530,118814,19943,Alabama,966
362,Wyoming,2016,577567,472996,75995,26471,2105,Alabama,265
